,Unnamed: 0,s3ic_id,rubrique,alinea,regime,activite,date_autorisation,date_mise_en_service,last_substantial_modif_date,state,rubrique_acte,alinea_acte,regime_acte,volume,unit
27596,114534,0052.08223,2171,#,D,"Dépôts de fumiers, engrais et supports de culture",2011-03-10,2011-03-10,2008-05-14,En fonctionnement,2171,#,D,7000.000,m3
27598,114548,0052.14073,2791,2,D,Déchets non dangereux (traitement),2015-10-23,2015-10-23,2015-10-23,En fonctionnement,2791,2,D,3.000,t/j
27605,114574,0052.00500,1185,2-a,D,Quantité susceptible d'être présente,2017-05-09,,2017-05-09,En fonctionnement,4802,2-a,D,319.000,kg
27617,114672,0052.01220,1131,1-c,D,Toxiques (emploi ou stockage),1814-11-23,2003-08-01,,En fonctionnement,1155,3,D,80.000,t
27625,114756,0060.03625,2710,2-a,E,collecte de déchets non dangereux-E,2014-03-22,,2014-03-22,En fonctionnement,2710,2-a,A,800.000,m3
27626,114768,0060.03625,2791,2,D,Déchets non dangereux (traitement),2014-03-22,,2014-03-22,En fonctionnement,2791,2,D,9.000,t/j
27632,114788,0052.07639,2663,2-a,E,Stockage de pneumatiques,1814-11-23,1814-11-23,,En fonctionnement,2663,2-a,A,25000.000,m3
27633,114789,0052.01806,1510,2-c,D,Entrepot déclaré,2019-06-20,2009-03-09,2016-01-27,En fonctionnement,1510,3,D,33000.000,m3
27656,114899,0052.01879,1510,2-b,E,Entrepot enregistré,2019-02-21,2008-04-16,2008-04-16,En fonctionnement,1510,2,E,59577.000,m3
27657,114901,0052.08719,2260,1-b,D,Supérieure à 100 kW mais inférieure ou égale à 500 kW,2009-10-09,2009-10-09,2009-10-09,En fonctionnement,2260,2-b,D,300.000,kW
27661,114917,0052.01914,2260,2-b,D,Supérieure à 1 MW mais inférieure à 20 MW,2019-05-28,,2019-05-28,En fonctionnement,2260,2-b,D,13.000,MW
27664,114924,0564.01466,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2011-05-12,,2011-05-12,En fonctionnement,2102,2-a,E,1052.000,u éq.
27665,114926,0579.03198,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2013-12-27,,2013-12-27,En fonctionnement,2102,2-a,E,716.000,u éq.
27669,114930,0564.00089,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2011-08-19,,2011-08-19,En fonctionnement,2102,2-a,E,2051.000,u éq.
27690,115089,0063.08816,2760,3,E,Installation de stockage de déchets inertes,2017-07-28,2016-04-08,2017-07-28,En fonctionnement,2760,3,E,2700.000,
27692,115116,0052.05640,2714,1,E,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",2013-05-23,2013-05-23,2013-06-06,En fonctionnement,2714,1,A,4000.000,m3
27693,115117,0052.05640,2713,2,D,Métaux et déchets de métaux (transit),2013-05-23,2011-11-04,2013-06-06,En fonctionnement,2713,2,D,200.000,m2
27694,115125,0052.05640,2711,2,D,"Transit, regroupement, tri, ...équipements électriques mis au rebut",2013-05-23,2011-11-04,2013-06-06,En fonctionnement,2711,2,D,250.000,m3
27697,115130,0052.05640,2791,2,D,Déchets non dangereux (traitement),2013-05-23,2011-11-04,,En fonctionnement,2791,2,D,8.000,t/j
27700,115150,0063.00157,2510,1,A,Carrières (exploitation de),2019-01-11,1985-02-13,2019-01-11,En fonctionnement,2510,1,A,500000.000,
27701,115157,0063.00157,2515,1,NC,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2019-01-11,1996-01-09,2019-01-11,En fonctionnement,2515,1,NC,592.000,kW
27705,115173,0063.00157,2517,1,E,Produits minéraux ou déchets non dangereux inertes (transit),2019-01-11,2013-10-18,2019-01-11,En fonctionnement,2517,1,E,35000.000,m2
27716,115206,0052.07639,1530,1,E,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",1814-11-23,1814-11-23,,En fonctionnement,1530,1,A,50000.000,m3
27717,115208,0052.06306,1530,,NC,"Dépôts de papiers, cartons ou analogues",2020-07-17,2020-07-17,,En fonctionnement,1530,#,NC,20.000,m3
27726,115244,0052.01365,2795,1,A,"Lavage de fûts, conteneurs,... de substances ou mélanges ou de déchets dangereux",2002-02-15,2002-02-15,2002-02-15,En fonctionnement,2795,1,A,60.000,M3/J
27729,115250,0052.06306,2160,1,NC,Silos plats,2020-07-17,2020-07-17,,En fonctionnement,2160,1,NC,640.000,m3
27731,115256,0052.06162,2160,2-b,D,silos autres que plats DC,1814-11-23,1814-11-23,,En fonctionnement,2160,1-b,D,0.000,m3
27745,115323,0072.01985,2718,1,A,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),2015-03-10,,,En fonctionnement,2717,2,A,50.000,
27751,115369,0072.01787,2524,,D,"Taillage, sciage et polissage de minéraux naturels ou artificiels",2002-04-19,2002-04-19,,En fonctionnement,2524,#,D,0.000,kW
27764,115402,0052.06063,1510,,NC,Entrepôts couverts,2002-06-20,2002-06-20,2002-06-20,En fonctionnement,1510,#,NC,12700.000,m3
27767,115409,0052.14073,2710,1-a,A,collecte de déchets dangereux-A,2015-10-23,2015-10-23,2015-10-23,En fonctionnement,2710,1-a,A,7.295,t
27771,115443,0052.06162,2260,1,A,"BROYAGE, CONCASSAGE, CRIBLAGE, ETC DES SUBSTANCES VEGETALES",1814-11-23,2001-04-06,,En fonctionnement,2260,1,A,720.000,kW
27776,115464,0063.08122,2160,1-a,E,Silos plats enregistré,2015-09-30,2015-09-30,,En fonctionnement,2160,1-a,E,30000.000,m3
27787,115513,0052.01400,1131,1-c,D,Toxiques (emploi ou stockage),1814-11-23,1990-08-17,,En fonctionnement,357,2,D,16.000,t
27791,115526,0063.05620,2910,A-2,D,Combustion,2011-05-17,2011-05-17,2011-05-17,En fonctionnement,2910,A-2,D,8.476,MW
27792,115530,0052.01400,47xx,,NC,,,1990-08-17,,En fonctionnement,47xx,,NC,,
27815,115604,0063.09635,1185,2-a,D,Quantité susceptible d'être présente,2017-12-27,2017-12-27,,En fonctionnement,4802,2-a,D,200.000,kg
27826,115645,0072.06214,47xx,,NC,,,2005-12-22,,En fonctionnement,47xx,,NC,,
27847,115732,0072.06214,2255,3,D,"Alcools de bouche,eaux-de-vie,liqueurs(stockage)",2005-12-22,2005-12-22,,En fonctionnement,2255,3,D,172.000,m3
27857,115792,0072.05530,2255,2,A,"Alcools de bouche,eaux-de-vie,liqueurs(stockage)",2009-04-08,2009-04-08,2009-04-08,En fonctionnement,2255,2,A,862.000,m3
27862,115813,0052.06568,2515,2-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2004-03-19,2004-03-19,2004-03-19,En fonctionnement,2515,2-b,D,120.000,kW
27876,115936,0063.07484,2980,1,A,Eoliennes de + de 50 m,2008-06-03,2008-09-08,2008-06-03,En fonctionnement,2980,1,A,10.000,MW
27885,115993,0540.01507,2130,1,A,Piscicultures,1980-10-13,,,En fonctionnement,2130,1,A,150.000,t/an
27890,116040,0544.00333,1185,2-a,D,Quantité susceptible d'être présente,2015-07-10,2012-11-26,2015-07-10,En fonctionnement,1185,2-a,D,2120.000,kg
27892,116051,0544.01675,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2002-08-27,,2002-08-27,En fonctionnement,2111,1,A,63910.000,u éq.
27905,116096,0052.04137,1432,2-b,D,Liquides inflammables (stockage),2006-07-12,2006-07-12,,En fonctionnement,1432,2-b,D,12.000,m3
27907,116114,0063.05620,2160,1-a,E,Silos plats enregistré,2011-05-17,2011-05-17,2011-05-17,En fonctionnement,2160,1-a,E,35832.000,m3
27909,116141,0586.00355,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,1998-11-13,,1998-11-13,En fonctionnement,2102,2-a,E,493.000,u éq.
27910,116154,0052.06063,2910,A-2,D,Combustion,2002-06-20,2002-06-20,2002-06-20,En fonctionnement,2910,A-2,D,2.500,MW
27911,116157,0052.06063,1131,#,NC,Toxiques (emploi ou stockage),2002-06-20,2002-06-20,2002-06-20,En fonctionnement,1131,#,NC,200.000,kg
27930,116290,0072.05468,47xx,,NC,,,,2007-01-17,En fonctionnement,47xx,,NC,,
27940,116355,0060.04462,2760,3,E,Installation de stockage de déchets inertes,2008-01-17,2008-01-17,,En fonctionnement,2760,3,E,5600.000,
27942,116361,0072.02010,2510,1,A,Carrières (exploitation de),2013-08-05,1998-07-31,2013-08-05,En fonctionnement,2510,1,A,40000.000,
27955,116518,0072.02515,2712,1,E,"Stockage, dépollution, démontage,… de VHU",2013-11-08,2013-11-08,2013-11-08,En fonctionnement,2712,1-a,A,48311.000,m2
27956,116527,0072.02515,1432,,NC,Liquides inflammables (stockage),2013-11-08,1997-05-12,2013-11-08,En fonctionnement,1432,#,NC,0.000,m3
27958,116540,0072.01381,2251,A,A,"Vins (préparation, conditionnement)",2012-01-12,2006-04-19,2012-02-03,En fonctionnement,2251,1,A,54300.000,hL/an
27992,116785,0054.01642,2661,1-b,E,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",2020-04-07,,,En fonctionnement,2661,1-b,E,24.500,t/j
28004,116820,0072.05549,2250,2,E,"Alcools,eaux de vie et liqueurs (production par distillation)",2009-04-17,2009-04-17,2009-04-17,En fonctionnement,2250,2,E,33.000,hl/j
28021,116884,0072.05657,2250,2,E,"Alcools,eaux de vie et liqueurs (production par distillation)",2013-11-07,2009-04-08,2013-11-07,En fonctionnement,2250,2,E,45.000,hl/j
28023,116898,0054.02155,2410,2,D,"Supérieure à 50 kW, mais inférieure ou égale à 250 kW",2017-03-13,2017-03-13,,En fonctionnement,2410,B-2,D,168.350,kW
28030,116910,0579.02621,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2013-12-27,,2013-12-27,En fonctionnement,2102,2-a,E,1120.000,u éq.
28035,116917,0059.01061,2410,2,D,"Supérieure à 50 kW, mais inférieure ou égale à 250 kW",1990-10-11,1990-10-11,1990-10-11,En fonctionnement,2410,2,D,150.000,kW
28067,117058,0059.01098,4441,2,D,"Liquides comburants catégorie 1,2 ou 3",2017-11-17,2017-11-17,,En fonctionnement,4441,2,D,11.200,t
28097,117201,0126.00111,2910,A-2,D,Combustion,2019-12-19,,2019-12-19,En fonctionnement,2910,A-2,D,1.200,MW
28102,117246,0054.01480,2515,1-a,E,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2012-12-26,1999-06-09,2012-12-26,En fonctionnement,2515,1,A,618.000,kW
28105,117279,0253.00057,2220,2-a,E,Supérieure à 10 t/j ,2008-03-06,2008-03-06,2008-03-06,En fonctionnement,2220,1,A,60.000,t/j
28106,117280,0253.00057,1138,4-b,D,Chlore (emploi ou stockage),2008-03-06,2008-03-06,2008-03-06,En fonctionnement,1138,4-b,D,330.000,kg
28118,117354,0033.02004,2101,3,D,"Bovins (élevage, vente, transit,  etc)",2019-06-07,,,En fonctionnement,2101,3,D,220.000,u
28119,117361,0558.00464,2101,2-c,D,"Bovins (élevage, vente, transit,  etc)",1999-12-28,,,En fonctionnement,2101,2-d,D,75.000,u
28120,117368,0033.00754,47xx,,NC,,,,1965-12-13,En fonctionnement,47xx,,NC,,
28127,117428,0121.00215,1185,2,NC,,2010-02-15,2010-02-15,,En fonctionnement,2920,2-b,D,429.900,kW
28128,117429,0121.00215,1510,,NC,Entrepôts couverts,2010-02-15,2010-02-15,,En fonctionnement,1510,#,NC,20000.000,m3
28129,117431,0121.00215,47xx,,NC,,,1814-11-23,,En fonctionnement,47xx,,NC,,
28145,117513,0059.04879,2710,2-a,E,collecte de déchets non dangereux-E,2021-03-11,2011-09-06,2013-03-27,En fonctionnement,2710,2-a,E,2000.000,m3
28146,117514,0059.04879,2794,1,E,Broyage de déchets verts,2021-03-11,2011-09-06,2011-09-06,En fonctionnement,2794,1,E,81.000,t/j
28147,117515,0059.04879,2710,1-b,D,collecte de déchets dangereux-DC,2021-03-11,2011-09-06,2013-03-27,En fonctionnement,2710,1-b,D,6.500,t
28158,117558,0127.00048,2410,,NC,Travail du bois et matériaux combustibles analogues,2016-11-28,2013-04-26,2013-04-26,En fonctionnement,2410,,NC,1.500,kW
28166,117600,0059.00710,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
28167,117602,0059.00710,4330,,NC,Liquides inflammables de catégorie 1,2019-07-05,,,En fonctionnement,4330,,NC,0.060,m3
28168,117606,0059.00710,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2019-07-05,,,En fonctionnement,4331,,NC,0.000,t
28169,117607,0059.00710,1185,2-a,D,Quantité susceptible d'être présente,2019-07-05,,2019-01-09,En fonctionnement,1185,2-a,D,620.000,kg
28170,117608,0059.00710,2560,,NC,Travail mécanique des métaux et alliages,2019-07-05,,,En fonctionnement,2560,,NC,100.000,kW
28184,117671,0054.01660,47xx,,NC,,,,2010-12-28,En fonctionnement,47xx,,NC,,
28185,117672,0054.01660,1436,,NC,Liquides combustibles,2013-08-30,,2010-12-28,En fonctionnement,1436,,NC,39.000,t
28186,117673,0054.01660,47xx,,NC,,,2010-12-28,2010-12-28,En fonctionnement,47xx,,NC,,
28187,117674,0054.01660,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2013-08-30,,2010-12-28,En fonctionnement,4331,,NC,38.000,t
28189,117679,0127.00048,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2016-11-28,2016-11-28,,En fonctionnement,4331,,NC,25.000,t
28190,117681,0127.00048,4510,,NC,Dangereux pour l’environnement aquatique 1,2016-11-28,2016-11-28,,En fonctionnement,4510,,NC,5.000,t
28192,117683,0127.00048,47xx,,NC,,,2016-11-28,,En fonctionnement,47xx,,NC,,
28205,117737,0255.00019,2175,,D,Dépôts d'engrais liquides,1986-11-28,2006-08-04,1986-11-28,En fonctionnement,2175,2,D,200.000,m3
28214,117763,0033.01069,1412,2-a,A,Gaz inflammables liquéfiés (stockage),1987-04-09,,1987-04-09,En fonctionnement,211,B-1-b,D,0.000,m3
28217,117776,0059.04293,2910,A-2,D,Combustion,2019-12-17,,2019-12-17,En fonctionnement,2910,A-2,D,1.496,MW
28234,117812,0570.00749,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2014-07-22,,,En fonctionnement,2102,2-a,E,2188.000,u éq.
28245,117828,0059.01034,47xx,,NC,,,2006-01-18,2020-03-17,En fonctionnement,47xx,,NC,,
28246,117832,0059.01034,2661,1-c,D,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",2020-03-17,2006-01-18,2020-03-17,En fonctionnement,2661,1-c,D,1.300,t/j
28247,117833,0059.01034,2221,,NC,Préparation de produits alimentaires d'origine animale,2020-03-17,2006-01-18,2020-03-17,En fonctionnement,2221,,NC,0.012,t/j
28248,117835,0059.01034,47xx,,NC,,,,2020-03-17,En fonctionnement,47xx,,NC,,
28256,117936,0054.01642,2662,2,D,Stockage de polymères D,2020-04-07,,,En fonctionnement,2662,3,D,380.000,m3
28270,118086,0054.02155,1532,2-b,D,Stockage bois déclaré,2017-03-13,2017-03-13,,En fonctionnement,1532,3,D,2000.000,m3
28291,118206,0059.01061,1131,2-c,D,Toxiques (emploi ou stockage),1990-10-11,1990-10-11,1990-10-11,En fonctionnement,1131,2-c,D,9.900,t
28309,118273,0033.00646,47xx,,NC,,,,1966-06-16,En fonctionnement,47xx,,NC,,
28334,118368,0121.00215,47xx,,NC,,,1814-11-23,,En fonctionnement,47xx,,NC,,
28346,118387,0059.01377,1531,#,D,"Stockages, par voie humide (immersion ou aspersion), de bois non traité chimiquement",2000-05-25,2000-05-25,,En fonctionnement,1531,#,D,0.000,m3
28353,118414,0127.00048,2564,,NC,"Nettoyage, dégraissage, décapage de surfaces utilisant des liquides organohalogénés ou des solvants organiques",2016-11-28,2013-04-26,2013-04-26,En fonctionnement,2564,,NC,1.000,L
28434,118736,0121.00215,2910,A-2,D,Combustion,2010-02-15,1814-11-23,,En fonctionnement,2910,A-2,D,8.460,MW
28449,118793,0127.00048,2560,1,E,Supérieure à 1 000 kW,2016-11-28,2013-04-26,2013-04-26,En fonctionnement,2560,B-1,E,2858.000,kW
28482,118951,0063.01084,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2019-08-08,2015-03-13,,En fonctionnement,2925,#,D,130.000,kW
28484,118959,0059.00134,2910,A-2,D,Combustion,1972-12-13,,1972-12-13,En fonctionnement,2910,A-2,D,2.900,MW
28524,119132,0054.01660,2910,A-2,D,Combustion,2013-08-30,2010-12-28,2010-12-28,En fonctionnement,2910,A-2,D,2.550,MW
28526,119138,0127.00048,2910,A-2,D,Combustion,2016-11-28,2013-04-26,2013-04-26,En fonctionnement,2910,A-2,D,3.200,MW
28531,119158,0059.01511,2510,1,A,Carrières (exploitation de),2002-01-08,2002-01-08,2002-01-08,En fonctionnement,2510,1,A,120000.000,t/an
28545,119218,0522.00049,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2020-06-05,,2020-06-05,En fonctionnement,2102,1,E,1502.000,animaux-équivalents
28546,119219,0522.00049,3660,b,A,avec plus de 2 000 emplacements pour les porcs de production (de plus de 30 kg),2020-06-05,,2020-06-05,En fonctionnement,3660,b,A,2930.000,u
28551,119250,0055.22378,2101,3,D,"Bovins (élevage, vente, transit,  etc)",2020-01-31,,2020-01-31,En fonctionnement,2101,3,D,130.000,u
28552,119255,0127.00048,2663,2,NC,Stockage de pneumatiques,2016-11-28,2013-04-26,2013-04-26,En fonctionnement,2663,2,NC,45.000,m3
28559,119270,0059.01034,2663,2,NC,Stockage de pneumatiques,2020-03-17,2006-01-18,2020-03-17,En fonctionnement,2663,2,NC,200.000,m3
28567,119294,0063.01228,2561,,D,"Trempé recuit, revenu des métaux et alliages",2001-07-24,2001-07-24,2001-07-24,En fonctionnement,2561,#,D,14.000,
28569,119301,0063.01228,1111,2-c,D,Très toxiques (emploi ou stockage),2001-07-24,2001-07-24,2001-07-24,En fonctionnement,1111,2-c,D,60.000,kg
28571,119307,0063.01228,1418,3,D,Acétylène (stockage ou emploi),2001-07-24,2001-07-24,2001-07-24,En fonctionnement,1418,3,D,48.000,m3
28574,119312,0059.01034,1185,,NC,Gaz à effet de serre fluorés ou substances qui appauvrissent la couche d'ozone,2020-03-17,,2020-03-17,En fonctionnement,1185,,NC,28.000,kg
28577,119317,0059.01188,1185,2-a,D,Quantité susceptible d'être présente,2016-11-10,2013-03-15,2016-11-10,En fonctionnement,4802,2-a,D,928.000,kg
28587,119331,0571.00928,1185,2-a,D,Quantité susceptible d'être présente,2013-12-11,,,En fonctionnement,1185,2-a,D,3278.000,kg
28601,119359,0059.01430,2910,,NC,Installation de combustion,2011-12-20,,,En fonctionnement,2910,#,NC,0.000,
28620,119394,0054.01660,47xx,,NC,,,2010-12-28,2010-12-28,En fonctionnement,47xx,,NC,,
28627,119403,0055.16870,2716,1,E,déchets non dangereux non inertes (transit),2018-08-17,2010-07-26,2018-08-17,En fonctionnement,2716,1,E,1500.000,m3
28649,119465,0250.00023,2716,1,E,déchets non dangereux non inertes (transit),2019-06-12,2016-07-27,2018-12-03,En fonctionnement,2716,1,E,4703.000,m3
28651,119470,0250.00023,3531,,A,Elimination de déchets non dangereux,2019-06-12,2016-07-27,2018-12-03,En fonctionnement,3531,,A,60.000,t/j
28652,119471,0250.00023,2714,1,E,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",2019-06-12,2012-07-12,2018-12-03,En fonctionnement,2714,1,E,12900.000,m3
28653,119475,0250.00023,2780,1-a,A,Installations de traitement aérobie de déchets non dangereux,2019-06-12,2010-07-23,2018-12-03,En fonctionnement,2780,1-a,A,82.000,t/j
28655,119477,0250.00023,2710,2-b,D,collecte de déchets non dangereux-DC,2019-06-12,2016-07-27,2018-12-03,En fonctionnement,2710,2-b,D,220.000,m3
28656,119478,0063.03136,2560,2,D,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",2011-12-27,,,En fonctionnement,2560,2,D,314.000,kW
28657,119479,0250.00023,2791,1,A,Déchets non dangereux (traitement),2019-06-12,2010-07-23,2018-12-03,En fonctionnement,2791,1,A,134.000,t/j
28658,119482,0055.13792,1532,2-b,D,Stockage bois déclaré,2018-03-28,2018-03-28,2018-03-28,En fonctionnement,1532,3,D,17530.000,m3
28659,119483,0250.00023,2710,1-a,A,collecte de déchets dangereux-A,2019-06-12,2012-07-12,2018-12-03,En fonctionnement,2710,1-a,A,11.520,t
28661,119485,0250.00023,3532,,A,Valorisation de déchets non dangereux,2019-06-12,2012-07-27,2018-12-03,En fonctionnement,3532,,A,82.000,t/j
28663,119488,0250.00023,2780,2-b,E,Installations de traitement aérobie de déchets non dangereux,2019-06-12,2010-10-23,,En fonctionnement,2780,2-b,E,55.000,t/j
28664,119492,0250.00023,2760,2-b,A,Autres installations que celles mentionnées au a,2019-06-12,2010-07-23,,En fonctionnement,2760,2-b,A,130000.000,t
28667,119512,0059.01034,3642,1,A,Production d'aliments à partir de matières premières animales,2020-03-17,2006-01-18,2020-03-17,En fonctionnement,3642,1,A,155.000,t/j
28680,119578,0553.01521,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2013-12-27,2013-12-27,,En fonctionnement,2102,2-a,E,2245.000,u éq.
28690,119621,0589.97563,2120,2,E,Chiens (élevage),2011-11-02,,2011-11-02,En fonctionnement,2120,1,A,200.000,u
28727,119782,0245.00010,2563,2,D,"Supérieure à 500 l, mais inférieure ou égale à 7500 l",2014-06-05,2014-06-05,,En fonctionnement,2563,2,D,4000.000,l
28728,119783,0245.00010,2560,1,E,Supérieure à 1 000 kW,2014-06-05,2014-06-05,,En fonctionnement,2560,B-1,E,1450.000,kW
28738,119827,0055.02091,2910,A-2,D,Combustion,1814-11-23,1992-04-03,,En fonctionnement,2910,A-2,D,6.300,MW
28759,119910,0054.00076,2510,1,A,Carrières (exploitation de),1814-11-23,1814-11-23,,En fonctionnement,2510,1,A,0.000,
28780,119979,0556.03012,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
28827,120227,0055.16212,2794,1,E,Broyage de déchets verts,2013-03-07,2005-09-27,2013-03-07,En fonctionnement,2791,1,A,0.000,t/j
28849,120378,0055.00110,3642,1,A,Production d'aliments à partir de matières premières animales,2018-12-19,2018-12-19,2018-12-19,En fonctionnement,3642,1,A,175.000,t/j
28851,120382,0126.00139,2340,1,E,"Blanchisseries, laveries de linge",2011-01-19,,2011-01-19,En fonctionnement,2340,1,E,10.000,t/j
28859,120440,0055.00110,2210,1,A,Abattoirs fixes de capacité > à 5 t/j,2018-12-19,2000-10-23,2018-12-19,En fonctionnement,2210,1,A,195.000,t/j
28873,120518,0522.00995,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2016-08-04,,,En fonctionnement,2102,2-a,E,836.000,u éq.
28874,120520,0522.03181,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2016-06-30,,,En fonctionnement,2102,2-a,E,1008.000,u éq.
28877,120524,0063.03389,2171,#,D,"Dépôts de fumiers, engrais et supports de culture",2013-07-04,2013-07-04,2013-07-04,En fonctionnement,2171,#,D,0.000,m3
28879,120527,0522.03064,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2016-11-09,,,En fonctionnement,2102,2-a,E,740.000,u éq.
28886,120544,0522.02362,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2014-05-22,,,En fonctionnement,2102,2-a,E,1942.000,u éq.
28890,120552,0522.02687,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2014-05-22,,,En fonctionnement,2102,2-a,E,800.000,u éq.
28900,120569,0059.01430,2560,2,D,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",2011-12-20,,,En fonctionnement,2560,B-2,D,950.000,kW
28917,120699,0059.00134,2564,1-c,D,"Supérieur à 200 l, mais inférieur ou égal à 1500 l",1972-12-13,,1972-12-13,En fonctionnement,2564,2,D,1450.000,L
28938,120755,0556.03067,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2002-02-18,,,En fonctionnement,2111,1,A,72000.000,u éq.
28941,120766,0556.03012,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2019-06-05,,,En fonctionnement,2111,1,A,134100.000,u
28949,120827,0055.05250,2718,1,A,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),2013-03-21,,,En fonctionnement,2718,1,A,17.000,t
28955,120886,0055.03739,4110,2-a,A,Toxicité aiguë catégorie 1,2019-08-14,2016-07-25,2016-05-27,En fonctionnement,4110,2-a,A,433.000,kg
28956,120888,0055.03739,4440,,NC,"Solides comburants catégorie 1, 2 ou 3.",2019-08-14,2016-07-25,2016-05-27,En fonctionnement,4440,,NC,1.066,t
28957,120891,0055.03739,4441,,NC,"Liquides comburants catégorie 1, 2 ou 3.",2019-08-14,2016-07-25,2016-05-27,En fonctionnement,4441,,NC,0.330,t
28958,120900,0055.03739,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2019-08-14,2016-07-25,2016-05-27,En fonctionnement,4331,,NC,1.700,t
28959,120901,0055.03739,3540,1,A,Installation de stockage de déchets de plus de 25 000 t de capacité,2019-08-14,2013-05-02,,En fonctionnement,3540,,A,320.000,t/j
28960,120902,0055.03739,4140,,NC,Toxicité aiguë catégorie 3 / orale,2019-08-14,2016-07-25,2016-05-27,En fonctionnement,4140,,NC,0.060,t
28961,120903,0055.03739,4510,,NC,Dangereux pour l’environnement aquatique 1,2019-08-14,2016-07-25,2016-05-27,En fonctionnement,4510,,NC,1.440,t
28962,120904,0055.03739,2260,1-b,D,Supérieure à 100 kW mais inférieure ou égale à 500 kW,2019-08-14,2011-06-28,2012-10-26,En fonctionnement,2260,2-b,D,500.000,kW
28963,120905,0055.03739,2791,1,A,Déchets non dangereux (traitement),2019-08-14,2011-06-28,2012-10-26,En fonctionnement,2791,1,A,400.000,t/j
28991,121039,0529.02338,2111,1,E,Elevages de plus de 30 000 volailles,2018-06-25,,2018-06-25,En fonctionnement,2111,2,E,37240.000,u
28992,121040,0522.03037,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2020-05-18,,2015-06-24,En fonctionnement,2102,1,E,200.000,animaux-équivalents
29003,121066,0556.02699,2111,1,E,Elevages de plus de 30 000 volailles,2015-06-03,,,En fonctionnement,2111,2,E,75900.000,u
29009,121103,0055.15466,2791,1,A,Déchets non dangereux (traitement),2013-03-19,2013-03-19,2013-03-19,En fonctionnement,2791,1,A,2064.310,t/j
29013,121125,0522.04333,2101,1-a,A,"Bovins (élevage, vente, transit,  etc)",2016-12-05,,,En fonctionnement,2101,1-a,A,1100.000,u
29041,121199,0529.00790,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2018-07-11,2018-07-11,,En fonctionnement,3660,a,A,57600.000,u
29044,121207,0071.01850,2713,2,D,Métaux et déchets de métaux (transit),2020-06-16,,,En fonctionnement,2713,2,D,200.000,m2
29062,121296,0529.03463,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2016-11-15,,2014-07-28,En fonctionnement,2921,b,D,1300.000,kW
29064,121303,0529.03463,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
29100,121393,0055.20181,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2006-04-25,,2006-04-25,En fonctionnement,2102,2-a,E,700.000,u éq.
29103,121407,0055.02091,3642,2-a,A,Production d'aliments à partir de matières premières végétales - capacité > 300 t/j,1814-11-23,1992-04-03,,En fonctionnement,2220,1,A,92.000,t/j
29111,121430,0055.03450,2910,A-2,D,Combustion,2019-08-01,,,En fonctionnement,2910,A-2,D,1510.000,MW
29112,121431,0055.03450,2940,2-b,D,"Vernis, peinture, colle, ... (application, cuisson, séchage)",2019-08-01,,,En fonctionnement,2940,2-b,D,39.720,kg/j
